expiration,T_days,H_rnd_mean,KL_mean,entropy_risk_premium
2025-10-03,3,2.9739004704879055,10.041718221762967,10.041718221762967
2025-10-10,10,4.150290384758072,6.706319658817591,6.706319658817591
2025-10-17,17,4.059207978526212,6.486717092553196,6.486717092553196
2025-10-24,25,4.313734855363236,4.513946959436149,4.513946959436149
2025-10-31,31,4.45709557847915,4.222549786749276,4.222549786749276
2025-11-07,38,4.044396704762227,5.246215283460071,5.246215283460071
2025-11-21,52,4.689312653913053,7.323216074921698,7.323216074921698
2025-12-19,81,4.815463807943356,8.81853637842602,8.81853637842602
2026-01-16,108,4.849363395236774,9.598045882226593,9.598045882226593
2026-02-20,143,5.02738083174739,10.038365894936591,10.038365894936591
2026-03-20,172,4.838749402362792,11.40614967320454,11.40614967320454
2026-04-17,200,5.167685521593665,8.69440794177267,8.69440794177267
2026-05-15,228,3.8117351709868457,14.744403358708704,14.744403358708704
2026-06-18,262,4.64474878269079,11.316069841226003,11.316069841226003
2026-08-21,326,4.224270866737308,14.475575639182912,14.475575639182912
2026-09-18,353,5.152475802084603,11.133929698217433,11.133929698217433
2026-12-18,445,4.948324857309446,14.134367005206741,14.134367005206741
2027-01-15,472,5.025706891299558,14.022904748059288,14.022904748059288
2027-06-17,626,4.466046450787769,16.295575154705837,16.295575154705837
2027-12-17,809,4.538640685229017,13.875912530343653,13.875912530343653
2028-01-21,843,4.320394864147454,16.42331007842064,16.42331007842064
