expiration,T_days,T_years,method,mean,std,S_current
2025-10-03,3.999999999999985,0.010958904109589,breeden_litzenberger,147.38400587981468,30.833460685359654,255.4600067138672
2025-10-03,3.999999999999985,0.010958904109589,maxent,255.4717212266758,11.161999384567384,255.4600067138672
2025-10-10,10.999999999999977,0.0301369863013698,breeden_litzenberger,237.9348661428575,26.709259656603074,255.4600067138672
2025-10-17,17.999999999999968,0.0493150684931506,breeden_litzenberger,218.4310005887109,36.77159801382663,255.4600067138672
2025-10-17,17.999999999999968,0.0493150684931506,maxent,256.0841517351699,15.298575116789216,255.4600067138672
2025-10-24,25.0,0.0684931506849315,breeden_litzenberger,244.44829609634093,27.01900938027142,255.4600067138672
2025-10-24,25.0,0.0684931506849315,maxent,256.21440182027675,18.336749918464285,255.4600067138672
2025-10-31,31.99999999999999,0.0876712328767123,breeden_litzenberger,253.25437063627353,23.69829460991644,255.4600067138672
2025-10-31,31.99999999999999,0.0876712328767123,maxent,256.5086626353977,21.677468772543946,255.4600067138672
2025-11-07,38.99999999999998,0.1068493150684931,breeden_litzenberger,252.25910618490354,30.693819028710767,255.4600067138672
2025-11-07,38.99999999999998,0.1068493150684931,maxent,256.6806661008702,25.36033364320373,255.4600067138672
2025-11-21,52.999999999999964,0.1452054794520547,breeden_litzenberger,237.51733641566065,38.794883400382176,255.4600067138672
2025-11-21,52.999999999999964,0.1452054794520547,maxent,256.9723138191891,27.80904992274888,255.4600067138672
2025-12-19,81.0,0.2219178082191781,breeden_litzenberger,215.52744867521437,52.33258426735187,255.4600067138672
2025-12-19,81.0,0.2219178082191781,maxent,257.66334526173205,33.94502623611186,255.4600067138672
2026-01-16,108.99999999999997,0.2986301369863013,breeden_litzenberger,207.57822213438988,58.38118234135041,255.4600067138672
2026-01-16,108.99999999999997,0.2986301369863013,maxent,258.8208565879434,37.3849631409346,255.4600067138672
2026-02-20,143.99999999999997,0.3945205479452054,breeden_litzenberger,231.76942763549656,51.96456351322824,255.4600067138672
2026-02-20,143.99999999999997,0.3945205479452054,maxent,259.8631089992266,42.29476463583301,255.4600067138672
2026-03-20,172.0,0.4712328767123288,breeden_litzenberger,199.30732374301834,57.794740874529005,255.4600067138672
2026-03-20,172.0,0.4712328767123288,maxent,260.556534003686,48.428792588702805,255.4600067138672
2026-04-17,200.0,0.547945205479452,breeden_litzenberger,260.12970917536654,44.0412083029224,255.4600067138672
2026-04-17,200.0,0.547945205479452,maxent,261.7013472330068,50.43655076097196,255.4600067138672
2026-05-15,228.0,0.6246575342465753,breeden_litzenberger,159.82496382820042,53.20291613212879,255.4600067138672
2026-05-15,228.0,0.6246575342465753,maxent,262.61554290670705,53.43771645061566,255.4600067138672
2026-06-18,262.0,0.7178082191780822,breeden_litzenberger,224.91583147488092,64.45265938107642,255.4600067138672
2026-06-18,262.0,0.7178082191780822,maxent,255.82351041297756,70.83824305889988,255.4600067138672
2026-08-21,326.0,0.8931506849315068,breeden_litzenberger,203.4932984623694,70.72348996761198,255.4600067138672
2026-09-18,353.99999999999994,0.96986301369863,breeden_litzenberger,244.90321686020218,61.80809759021453,255.4600067138672
2026-09-18,353.99999999999994,0.96986301369863,maxent,266.5724138739492,63.72664319378011,255.4600067138672
2026-12-18,445.0,1.2191780821917808,breeden_litzenberger,238.47647534894463,67.54626304110222,255.4600067138672
2026-12-18,445.0,1.2191780821917808,maxent,256.2797622951506,91.38552064394976,255.4600067138672
2027-01-15,472.99999999999994,1.295890410958904,breeden_litzenberger,210.55514486446714,76.76285545258659,255.4600067138672
2027-01-15,472.99999999999994,1.295890410958904,maxent,270.05312767509207,74.46206358609572,255.4600067138672
2027-06-17,626.0,1.715068493150685,breeden_litzenberger,173.0480495338661,69.27458515309652,255.4600067138672
2027-06-17,626.0,1.715068493150685,maxent,274.592950719521,85.53735558576382,255.4600067138672
2027-12-17,809.0,2.2164383561643834,breeden_litzenberger,266.15692578498346,76.80645643139185,255.4600067138672
2028-01-21,843.9999999999999,2.3123287671232875,breeden_litzenberger,234.64337925988625,69.6293429531685,255.4600067138672
2028-01-21,843.9999999999999,2.3123287671232875,maxent,285.41764167844383,88.94945977708757,255.4600067138672
